PDB	IC50	K_value
5zjy	7.18	6.69
5zjz	7.37	6.91
5zk5	7.25	6.23
5zk7	5.46	5.79
5zk9	6.90	6.24
5zlf	6.16	7.43
5zml	6.60	6.69
5zr3	7.19	7.28
5zxk	4.88	4.82
6a1c	6.28	5.82
6a6k	8.42	8.53
6a73	7.54	13.65
6agt	6.25	5.73
6ahs	5.58	4.93
6bqd	6.28	6.27
6c85	5.32	3.77
6cjj	4.84	5.84
6cjp	5.88	6.71
6cjr	7.46	7.49
6cjs	7.62	7.41
6cyg	5.04	5.49
6cyh	5.34	5.67
6d07	6.16	5.92
6d08	5.83	6.57
6d3x	(1, 2)	(1, 2)
6d3y	5.96	9.29
6d3z	(4, 67)	(4, 67)
6d40	6.60	8.49
6dql	6.72	5.62
6dyz	6.14	6.85
6dz2	6.41	7.30
6dz3	6.17	7.05
6e3m	6.39	5.81
6e3n	6.16	5.38
6e3o	6.48	5.75
6e3p	6.74	6.44
6e3z	6.80	7.00
6e4c	6.10	5.79
6e4v	7.47	8.09
6e6j	8.30	6.79
6e6v	5.49	4.57
6e6w	6.83	6.39
6eeb	7.28	6.51
6efk	6.73	5.95
6fcj	5.52	6.21
6fe5	7.61	8.27
6ffe	5.82	6.04
6fff	7.15	7.01
6ffg	6.65	6.62
6ftf	5.91	6.48
6g24	4.63	4.67
6g25	4.00	4.54
6g27	4.50	4.86
6g29	4.07	4.73
6g2b	3.66	5.18
6g2c	4.39	5.56
6g2e	4.92	5.22
6g2f	4.90	5.84
6g2o	5.28	5.88
6g3c	7.13	7.37
6g5u	6.63	7.37
6g9f	6.65	7.03
6gbw	8.44	7.59
6gdy	2.83	3.72
6gga	4.64	4.90
6ggb	4.78	5.35
6ggd	4.79	5.38
6gge	5.32	5.51
6ggf	5.27	5.54
6gj5	4.96	4.72
6gj6	4.72	4.48
6gj7	5.40	4.75
6gj8	5.27	5.36
6gwe	7.04	8.10
6gzy	6.73	5.99
6h12	7.08	9.03
6h13	7.17	9.44
6h14	8.85	9.55
6h7d	4.99	5.23
6hbn	6.82	7.06
6hhg	7.46	7.73
6hhh	5.65	7.38
6hhi	6.33	6.36
6hhj	6.27	7.54
6hhp	(1, 21)	(1, 21)
6hhr	7.55	7.77
6hlb	(34, 42)	(34, 42)
6hld	(7, 24)	(7, 24)
6hle	8.07	11.38
6hmt	(1, 21)	(1, 21)
6hop	4.70	4.82
6hoq	4.62	4.89
6hor	4.62	4.34
6hot	4.96	4.71
6hou	4.34	3.99
6hv2	6.50	6.01
6hza	8.19	10.44
6hzb	7.45	9.31
6hzc	7.71	10.14
6hzd	8.24	10.75
6i41	5.27	5.22
6i5p	4.93	5.07
6i61	7.67	6.35
6i62	7.25	6.00
6i63	6.76	6.41
6i64	6.71	5.92
6i65	6.18	5.67
6i66	6.36	5.70
6i67	6.18	5.14
6i68	5.18	5.49
6i74	4.37	4.64
6i75	4.20	4.75
6i76	4.26	4.72
6i77	4.34	4.98
6i78	4.40	5.19
6i7a	5.33	5.32
6i8m	7.40	7.34
6i8t	7.37	7.31
6i9a	6.38	7.01
6ibx	7.06	6.96
6iby	6.79	6.93
6ibz	7.33	7.48
6ic0	7.37	6.98
6inz	4.04	6.02
6izq	6.38	5.57
6j06	4.90	6.04
6j9w	5.68	4.87
6j9y	5.28	5.30
6jad	5.82	5.00
6jag	(6, 15)	(6, 15)
6jam	4.87	4.85
6jan	5.18	5.35
6jao	5.43	4.83
6jap	(6, 15)	(6, 15)
6jaq	5.34	4.31
6jb0	5.36	5.07
6jb4	5.22	5.31
6jbb	(6, 15)	(6, 15)
6jbe	5.45	4.71
6jib	3.78	4.88
6jid	4.04	5.04
6jmf	7.91	7.79
6jon	5.19	5.24
6jse	6.52	6.96
6jsf	6.79	7.13
6jsg	6.62	6.78
6jsn	7.46	7.60
6jsz	7.34	7.68
6jt3	6.32	6.67
6jut	7.74	8.12
6jwa	6.83	6.55
6k04	7.20	7.26
6k05	6.62	7.43
6k1s	6.83	6.36
6k2n	4.20	5.82
6k3l	8.14	7.40
6kjd	6.13	6.71
6kjf	6.61	6.97
6md6	5.59	6.40
6mhb	4.58	4.05
6mhc	4.33	3.67
6mhd	4.86	5.01
6mo7	7.77	6.79
6mo8	6.04	6.29
6mo9	6.26	6.44
6moa	7.25	6.94
6n0m	4.97	5.28
6n4e	5.85	6.57
6n53	6.89	5.23
6n55	6.39	4.85
6n8x	5.53	6.37
6n92	5.22	6.14
6n93	5.83	6.26
6n94	5.52	6.25
6n96	5.14	6.98
6n97	5.96	6.83
6nd3	6.09	5.85
6np2	(13, 24)	(13, 24)
6np3	(13, 24)	(13, 24)
6np4	(12, 25)	(12, 25)
6np5	(12, 25)	(12, 25)
6npi	3.92	4.09
6npm	4.21	4.36
6npp	5.09	4.67
6nsv	6.94	6.67
6nt2	6.45	5.94
6nv7	7.51	7.48
6nv9	7.76	7.70
6nw3	7.93	7.60
6o0h	5.31	4.51
6o3x	3.89	4.24
6o3y	4.49	4.51
6o5g	6.22	5.47
6o5u	(14, 23)	(14, 23)
6o9b	6.90	5.79
6o9c	7.14	5.53
6od6	6.72	7.28
6oi8	7.39	8.47
6oie	6.58	5.87
6oim	5.70	5.01
6oin	5.21	4.61
6oio	4.96	4.99
6oip	5.27	4.68
6oiq	5.52	5.49
6oir	4.46	4.43
6olx	5.56	6.14
6om4	6.58	8.25
6op9	8.24	9.15
6os5	5.03	5.62
6os6	5.26	5.83
6ovz	5.24	5.04
6p8x	5.72	5.07
6p8y	6.29	5.23
6p8z	6.86	6.23
6pgo	5.17	4.90
6pgp	5.15	4.83
6pnm	4.39	4.95
6pnn	4.61	5.46
6pno	4.49	4.85
6pya	4.98	5.72
6pyb	7.16	8.28
6pz4	6.69	7.97
6q36	8.41	6.66
6q38	7.10	7.82
6q4q	7.05	7.46
6qfe	5.58	5.54
6qge	4.91	4.43
6qgf	5.12	4.63
6qi7	5.11	5.70
6qln	4.33	4.25
6qlo	4.12	4.29
6qlp	4.06	4.19
6qlq	4.05	4.04
6qlr	3.87	4.24
6qls	(4, 27)	(4, 27)
6qlt	4.34	4.24
6qlu	4.13	4.03
6qmr	6.17	4.85
6qmt	5.04	5.03
6qqq	5.25	5.57
6qqt	5.24	5.13
6qqu	6.58	6.12
6qqv	5.71	5.59
6qqw	5.41	5.06
6qqz	6.40	6.47
6qr0	6.41	6.13
6qr1	6.51	6.20
6qr2	6.84	6.58
6qr3	6.75	6.91
6qr4	6.83	6.60
6qr7	6.72	6.69
6qr9	6.63	6.87
6qra	5.60	6.06
6qrc	5.44	5.70
6qrd	6.63	7.04
6qre	4.97	4.50
6qrf	4.83	4.24
6qrg	4.99	4.59
6qsz	4.91	5.43
6qtm	5.02	5.51
6qto	4.62	6.20
6qtq	(1, 26)	(1, 26)
6qtr	2.81	4.54
6qts	2.73	4.22
6qtw	2.53	5.22
6qtx	3.24	4.42
6quv	4.72	4.95
6quw	4.51	5.03
6qw8	6.26	7.85
6qwi	6.64	6.61
6qxa	3.56	3.28
6qxd	5.17	4.30
6r4k	6.02	6.98
6rot	7.34	7.76
6rr0	(15, 76)	(15, 76)
6rtn	6.95	6.22
6s07	(62, 63)	(62, 63)
6s55	4.10	4.14
6s56	5.63	5.49
6s57	4.67	4.71
6s9w	6.89	7.14
6s9x	6.43	7.45
6sen	7.49	6.04
6seo	7.18	6.33
6sfc	6.41	6.27
6st3	6.72	5.98
6t6a	5.92	5.26
6te6	6.64	7.89
6tel	6.72	8.38
6ten	7.71	8.36
6ufn	5.82	6.56
6ufo	5.54	6.27
6uhu	5.78	6.35
6uhv	6.51	7.04
6uii	4.94	6.01
6uil	5.45	6.31
6uim	6.20	7.32
6uvp	7.41	6.62
6uvv	6.36	5.19
6uvy	6.26	5.09
6uwp	7.40	6.14
6uwv	7.73	7.56
6v5l	4.35	3.81
Mean	5.92480701754386	6.098526315789473
