PDB	IC50	K_value
5zjy	7.38	6.68
5zjz	7.75	7.29
5zk5	7.80	6.30
5zk7	5.06	5.72
5zk9	7.11	6.97
5zlf	6.57	7.04
5zml	7.58	7.06
5zr3	7.68	7.52
5zxk	4.65	5.37
6a1c	6.64	6.37
6a6k	8.25	7.89
6a73	4.63	4.41
6agt	5.06	5.02
6ahs	5.09	5.95
6bqd	6.38	5.82
6c85	4.76	3.72
6cjj	6.82	5.99
6cjp	5.97	6.40
6cjr	6.81	7.59
6cjs	7.47	7.81
6cyg	5.81	5.82
6cyh	5.57	5.42
6d07	5.88	5.53
6d08	5.94	6.05
6d3x	7.05	6.68
6d3y	6.87	7.89
6d3z	7.41	8.06
6d40	6.89	7.39
6dql	7.49	6.15
6dyz	6.19	7.03
6dz2	6.05	7.36
6dz3	6.04	7.33
6e3m	5.72	5.02
6e3n	6.17	5.33
6e3o	6.33	6.09
6e3p	6.92	6.14
6e3z	7.04	7.03
6e4c	6.50	5.86
6e4v	7.58	7.47
6e6j	7.71	6.50
6e6v	5.63	5.17
6e6w	6.37	5.82
6eeb	6.37	5.32
6efk	5.72	5.36
6fcj	5.42	6.16
6fe5	7.90	8.04
6ffe	5.61	5.85
6fff	7.47	6.66
6ffg	6.97	6.21
6ftf	5.88	5.64
6g24	4.34	5.19
6g25	4.58	4.89
6g27	4.72	5.13
6g29	5.49	6.24
6g2b	5.50	6.21
6g2c	5.31	5.15
6g2e	5.57	5.94
6g2f	6.20	5.72
6g2o	6.67	6.71
6g3c	8.02	8.16
6g5u	6.62	7.00
6g9f	6.52	6.43
6gbw	7.63	7.22
6gdy	3.77	3.61
6gga	5.50	5.62
6ggb	6.49	6.70
6ggd	6.18	6.43
6gge	6.63	6.96
6ggf	6.14	6.60
6gj5	4.88	4.54
6gj6	5.12	4.97
6gj7	6.57	5.53
6gj8	7.52	6.54
6gwe	7.47	8.20
6gzy	6.47	5.81
6h12	8.50	8.60
6h13	8.17	8.99
6h14	8.72	9.29
6h7d	5.03	6.04
6hbn	6.63	6.67
6hhg	7.55	8.59
6hhh	7.39	7.94
6hhi	7.29	8.13
6hhj	7.33	8.70
6hhp	(1, 21)	(1, 21)
6hhr	7.54	7.57
6hlb	(16, 17)	(16, 17)
6hld	(7, 24)	(7, 24)
6hle	8.74	8.75
6hmt	(1, 21)	(1, 21)
6hop	4.84	4.83
6hoq	4.95	4.88
6hor	4.39	4.64
6hot	4.86	4.89
6hou	4.28	3.98
6hv2	6.01	5.27
6hza	8.65	8.53
6hzb	8.72	9.12
6hzc	9.10	8.94
6hzd	8.30	9.00
6i41	4.65	4.43
6i5p	4.94	4.45
6i61	7.16	7.52
6i62	6.47	7.16
6i63	6.48	6.94
6i64	6.62	6.63
6i65	5.11	4.75
6i66	5.21	5.07
6i67	5.55	5.22
6i68	5.61	5.18
6i74	5.21	5.01
6i75	5.35	5.25
6i76	5.64	5.97
6i77	5.77	6.15
6i78	5.29	5.84
6i7a	4.63	4.39
6i8m	7.94	7.32
6i8t	8.03	7.22
6i9a	6.78	6.90
6ibx	7.46	7.35
6iby	7.34	7.29
6ibz	7.83	7.56
6ic0	7.84	7.17
6inz	(4, 13)	(4, 13)
6izq	5.95	5.14
6j06	5.33	6.15
6j9w	4.63	5.35
6j9y	4.74	5.07
6jad	4.31	5.17
6jag	5.47	5.37
6jam	5.01	5.51
6jan	4.97	5.20
6jao	4.45	5.10
6jap	(6, 15)	(6, 15)
6jaq	4.00	4.36
6jb0	4.61	5.16
6jb4	4.79	5.03
6jbb	(6, 15)	(6, 15)
6jbe	4.17	4.33
6jib	5.07	4.69
6jid	6.44	7.09
6jmf	7.80	7.32
6jon	4.80	5.53
6jse	7.47	7.57
6jsf	7.24	7.29
6jsg	6.61	6.97
6jsn	7.82	7.45
6jsz	7.17	6.33
6jut	7.58	7.61
6jwa	6.97	6.51
6k04	7.69	7.20
6k05	6.99	7.62
6k1s	7.02	6.14
6k2n	(5, 32)	(5, 32)
6k3l	7.89	7.14
6kjd	5.71	5.75
6kjf	5.84	5.71
6md6	4.84	3.97
6mhb	4.15	4.43
6mhc	4.24	4.71
6mhd	5.48	5.16
6mo7	6.80	6.05
6mo8	6.48	6.24
6mo9	6.72	6.23
6moa	7.33	6.72
6n0m	4.54	4.16
6n4e	7.20	7.22
6n53	5.91	5.28
6n55	6.32	4.71
6n8x	5.93	6.88
6n92	6.16	5.88
6n93	6.41	5.65
6n94	6.56	5.95
6n96	5.18	5.48
6n97	6.37	5.74
6nd3	5.71	5.07
6np2	(13, 24)	(13, 24)
6np3	(13, 24)	(13, 24)
6np4	(12, 25)	(12, 25)
6np5	(12, 25)	(12, 25)
6npi	4.38	3.58
6npm	5.02	4.44
6npp	5.19	4.19
6nsv	5.89	5.05
6nt2	6.89	5.50
6nv7	7.38	7.77
6nv9	7.56	8.18
6nw3	8.13	8.15
6o3x	3.50	4.50
6o3y	4.34	4.92
6o5g	6.37	5.24
6o5u	(14, 23)	(14, 23)
6o9b	6.39	4.37
6o9c	6.82	4.74
6od6	7.06	7.46
6oi8	8.30	8.54
6oie	6.58	5.34
6oim	6.28	6.06
6oin	5.94	5.74
6oio	5.80	6.21
6oip	5.97	6.45
6oiq	5.33	5.02
6oir	5.97	6.55
6olx	5.85	7.33
6om4	5.83	6.76
6op9	8.15	9.24
6os5	4.54	5.89
6os6	4.80	5.93
6ovz	5.03	5.25
6p8x	5.36	5.32
6p8y	5.23	5.73
6p8z	5.67	6.30
6pgo	5.31	5.18
6pgp	5.87	5.61
6pnm	4.31	5.08
6pnn	4.70	5.53
6pno	4.76	5.11
6pya	7.44	7.29
6pyb	7.09	7.12
6pz4	7.34	7.88
6q36	9.02	7.33
6q38	8.59	6.34
6q4q	9.25	7.27
6qfe	5.36	6.29
6qge	5.18	4.94
