PDB	IC50	K_value
5zjy	7.64	6.96
5zjz	6.98	6.52
5zk5	7.55	6.48
5zk7	5.18	5.48
5zk9	6.91	7.07
5zlf	6.36	6.29
5zml	6.84	6.90
5zr3	7.96	7.27
5zxk	4.61	5.24
6a1c	7.34	6.27
6a6k	8.42	8.12
6a73	4.91	4.87
6agt	5.30	5.14
6ahs	6.26	6.53
6bqd	6.39	6.15
6c85	4.92	3.24
6cjj	7.03	6.36
6cjp	6.82	7.47
6cjr	7.05	7.88
6cjs	7.89	7.48
6cyg	5.26	5.93
6cyh	5.66	5.73
6d07	6.03	5.29
6d08	5.87	5.50
6d3x	6.90	7.11
6d3y	6.81	7.32
6d3z	7.76	7.84
6d40	6.69	7.10
6dql	7.22	6.50
6dyz	6.12	6.67
6dz2	6.14	7.06
6dz3	5.91	7.03
6e3m	5.61	5.06
6e3n	6.16	5.70
6e3o	6.06	5.79
6e3p	6.79	6.42
6e3z	7.19	7.09
6e4c	6.57	5.99
6e4v	6.76	7.37
6e6j	7.64	6.31
6e6v	5.88	5.35
6e6w	6.95	6.19
6eeb	6.36	5.30
6efk	5.44	5.01
6fcj	5.44	6.39
6fe5	7.94	7.92
6ffe	5.47	5.86
6fff	7.29	6.61
6ffg	6.66	6.00
6ftf	4.16	3.68
6g24	5.19	5.61
6g25	4.98	5.44
6g27	5.31	5.72
6g29	6.11	5.99
6g2b	5.24	6.02
6g2c	6.56	5.84
6g2e	6.32	7.25
6g2f	6.23	6.15
6g2o	6.88	6.60
6g3c	8.04	8.24
6g5u	6.68	6.88
6g9f	6.54	6.61
6gbw	8.05	7.34
6gdy	3.49	3.53
6gga	5.72	5.90
6ggb	6.48	6.78
6ggd	6.20	6.28
6gge	6.41	6.72
6ggf	6.33	6.66
6gj5	5.35	5.27
6gj6	4.84	4.44
6gj7	5.88	5.56
6gj8	5.66	5.45
6gwe	7.53	8.17
6gzy	6.78	5.28
6h12	8.84	8.61
6h13	8.81	8.69
6h14	8.74	8.10
6h7d	5.27	6.36
6hbn	6.94	6.67
6hhg	8.23	9.09
6hhh	7.54	7.99
6hhi	7.65	8.15
6hhj	7.98	8.77
6hhp	(1, 21)	(1, 21)
6hhr	6.93	7.46
6hlb	(16, 17)	(16, 17)
6hld	(7, 24)	(7, 24)
6hle	8.86	8.94
6hmt	(1, 21)	(1, 21)
6hop	4.59	4.98
6hoq	4.51	4.90
6hor	4.63	4.95
6hot	4.66	4.42
6hou	4.56	4.24
6hv2	7.32	6.74
6hza	8.68	8.95
6hzb	8.14	8.25
6hzc	9.15	9.27
6hzd	8.08	8.27
6i41	4.59	4.61
6i5p	4.78	4.36
6i61	6.19	6.87
